Batch,Pixel Accuracy,Jaccard Index,Dice Coefficient,Precision,F1 Score,Sensitivity,Specificity
1,0.974736213684082,0.9104819061328899,0.9531437101917869,0.9710492267660404,0.9531437101917869,0.935886570150332,0.9894397118367776
2,0.9745569229125977,0.9120862825734509,0.9540220971052482,0.9853859463000277,0.9540220971052482,0.9245932196029569,0.9945209172825351
3,0.9736337661743164,0.9038234751844598,0.9494824357041707,0.9711547446837937,0.9494824357041707,0.9287562914664836,0.9899626966619496
4,0.974945068359375,0.9077612296630223,0.9516507784607457,0.9791375542957552,0.9516507784607457,0.9256651045228181,0.9928385628247444
5,0.9742240905761719,0.9042232758559593,0.9497029968289887,0.9771461832441085,0.9497029968289887,0.9237591861854252,0.9922728932369689
6,0.9763212203979492,0.8989717736192999,0.9467984581002235,0.9527247010526225,0.9467984581002235,0.9409454855195911,0.9865282338137276
7,0.9767303466796875,0.9108151278011908,0.9533262685116818,0.9622125687807703,0.9533262685116818,0.9446026011834588,0.9875301520312243
8,0.9675359725952148,0.8975066916770291,0.9459852717397341,0.9734693610962339,0.9459852717397341,0.9200104936652213,0.9887878482577966
9,0.9765443801879883,0.906198990099312,0.9507915960569253,0.9613531260999915,0.9507915960569253,0.9404596045153016,0.9879988541619552
10,0.9712562561035156,0.8925708501302766,0.9432363919890616,0.9589230462886377,0.9432363919890616,0.9280547011081051,0.9862252904027757
11,0.9598827362060547,0.8795388421800188,0.9359091947893654,0.9660558480690961,0.9359091947893654,0.907587111720486,0.9848034245803763
12,0.970524787902832,0.9113126768323128,0.9535987364900065,0.9692725580259725,0.9535987364900065,0.9384237617677129,0.9858227135112301
13,0.9752206802368164,0.9029554460807565,0.9490032443381099,0.9711889190622338,0.9490032443381099,0.9278085435447536,0.9908985349077735
14,0.9807577133178711,0.9344826018625554,0.9661318235303004,0.9765389326809206,0.9661318235303004,0.9559441953163926,0.9907508233827318
15,0.9708681106567383,0.8971817285263736,0.9458047323945661,0.9661144114331693,0.9458047323945661,0.9263313732849576,0.9877120715851677
16,0.9760236740112305,0.9151739472236937,0.9557084342655803,0.9709337705199705,0.9557084342655803,0.9409532267408581,0.9893201878699956
17,0.9774026870727539,0.8978315892049448,0.9461657128186719,0.953101541616317,0.9461657128186719,0.9393301003721665,0.9876091575654159
18,0.9790706634521484,0.9310749864951445,0.9643074380917994,0.978380180126663,0.9643074380917994,0.9506337922033778,0.991107919801608
19,0.9671630859375,0.8891314567595938,0.9413124254303733,0.9735094201263538,0.9413124254303733,0.9111769597296834,0.989921182953198
20,0.9766206741333008,0.9109487778387234,0.9533994719303814,0.9774746155795053,0.9533994719303814,0.9304817596248034,0.9925821241900538
21,0.9650859832763672,0.8731616054878999,0.9322864646913033,0.9502022749808658,0.9322864646913033,0.9150337475991823,0.9829166176248045
