Batch,Pixel Accuracy,Jaccard Index,Dice Coefficient,Precision,F1 Score,Sensitivity,Specificity
19,0.9633712768554688,0.8149226113606137,0.8980246389124894,0.8418925108026842,0.8980246389124894,0.9621765549259234,0.9636118660146744
20,0.9685859680175781,0.8722047207436491,0.9317407557835929,0.9213166349747558,0.9317407557835929,0.9424034608226161,0.97629688155848
21,0.9786529541015625,0.9212174965859976,0.9589934489176791,0.9300028425241614,0.9589934489176791,0.989849635434,0.9748773197033228
22,0.9786872863769531,0.9313273596617377,0.9644427755891731,0.9423543311983086,0.9644427755891731,0.9875915643492088,0.9750029662068147
23,0.9850807189941406,0.9147205686749089,0.9554611609023926,0.929845949240829,0.9554611609023926,0.9825276372493911,0.9855774488717145
24,0.9778938293457031,0.9222752756243462,0.9595662882620133,0.9346227556304623,0.9595662882620133,0.9858777312611114,0.9749994802386744
25,0.9704513549804688,0.9260962485211617,0.9616302915622307,0.9383162392336172,0.9616302915622307,0.9861324176326564,0.9610232541093254
26,0.982147216796875,0.9288180449298067,0.9630955572728563,0.9462030710113265,0.9630955572728563,0.9806021678040947,0.9826286217472444
27,0.98712158203125,0.9425293226426978,0.9704145123126807,0.9525341499501084,0.9704145123126807,0.9889789939982853,0.9866171905316259
28,0.9651222229003906,0.8794737605294032,0.935872347887077,0.9049059367667205,0.935872347887077,0.9690332326283988,0.9637292028805562
29,0.9870719909667969,0.9474541056809724,0.9730181603942581,0.9567402536402067,0.9730181603942581,0.9898595564770868,0.9862133316035547
30,0.9674606323242188,0.8697172880423991,0.9303195660697948,0.9334611979935085,0.9303195660697948,0.9271990099977204,0.9797788073531609
31,0.9705085754394531,0.8855514433752776,0.9393023420141479,0.9258617220511074,0.9393023420141479,0.9531389420012747,0.9759760060987842
32,0.9862861633300781,0.9545999873713455,0.9767727346147633,0.9621210192704224,0.9767727346147633,0.9918775997585587,0.9839944066474844
33,0.976654052734375,0.8848325178773052,0.9388977635782748,0.8949712588983212,0.9388977635782748,0.9873587837554072,0.9742776964600367
34,0.9856338500976562,0.9423877126422715,0.9703394502638418,0.96250117183838,0.9703394502638418,0.9783064413670436,0.9879503554645138
35,0.9854240417480469,0.9505826360238486,0.9746653317508835,0.9636690223020545,0.9746653317508835,0.9859154929577465,0.9852287386590189
36,0.9684181213378906,0.8615181319416566,0.9256081014296111,0.8781307009019147,0.9256081014296111,0.9785128049243863,0.9658819710941826
37,0.9843597412109375,0.915613551228749,0.955948083204401,0.9401098901098901,0.955948083204401,0.9723290785102291,0.9869033975378018
38,0.9683876037597656,0.866637699351454,0.9285548016656465,0.8760696274605498,0.9285548016656465,0.9877294987252618,0.9633084966501785
39,0.9812698364257812,0.9371294672010448,0.9675444858676396,0.9713842029120157,0.9675444858676396,0.9637350048063629,0.9884212391851903
40,0.9865188598632812,0.9544047066109305,0.9766704955044163,0.9617129707874518,0.9766704955044163,0.9921006397274788,0.9843001156833581
41,0.9842414855957031,0.9476750813816515,0.9731346777917238,0.9616338701592484,0.9731346777917238,0.9849139065873308,0.98396712858524
42,0.9752388000488281,0.9042526514536899,0.9497191990394671,0.9570063694267515,0.9497191990394671,0.9425421670074878,0.9860277517059435
43,0.984832763671875,0.9387138541217092,0.9683882457702583,0.9591155348368401,0.9683882457702583,0.9778420038535646,0.9870111675939639
44,0.9797744750976562,0.9149761862762392,0.9556005895357406,0.940060960540407,0.9556005895357406,0.9716626079256143,0.9821160832354257
45,0.9776153564453125,0.9312010505088402,0.9643750455329173,0.9625634748463878,0.9643750455329173,0.9661934479276912,0.9828332620136601
