Batch,Pixel Accuracy,Jaccard Index,Dice Coefficient,Precision,F1 Score,Sensitivity,Specificity
1,0.9750556945800781,0.914098420955834,0.9551216499090628,0.9496144660525417,0.9551216499090628,0.9606930829766671,0.9805391273179628
2,0.9710731506347656,0.8870535315320682,0.9401466537219894,0.8976020738820479,0.9401466537219894,0.9869249635423571,0.9663330029732409
3,0.9824943542480469,0.9270255227796772,0.9621310271412185,0.9372950028940767,0.9621310271412185,0.9883190641688565,0.9808032132467673
4,0.9800186157226562,0.9293355817875211,0.9633737029060498,0.9434895155657211,0.9633737029060498,0.9841140587722682,0.978526633531968
5,0.9638633728027344,0.8543175701653211,0.921436094777611,0.9252806555847963,0.921436094777611,0.9176233502370372,0.9777485677438555
6,0.971771240234375,0.9082420920803006,0.9519149544491663,0.9236463140904391,0.9519149544491663,0.9819685757185758,0.9677156202013308
7,0.9863052368164062,0.9068306861829128,0.9511391784849063,0.920519507890092,0.9511391784849063,0.9838659721244545,0.9866874936570342
8,0.9530601501464844,0.8279790862830622,0.9058955788894072,0.9301744852606285,0.9058955788894072,0.882851861789345,0.9772067795219883
9,0.9826240539550781,0.9281319028084569,0.9627265660161205,0.9571421598138596,0.9627265660161205,0.9683765186185098,0.9869214192792382
10,0.983642578125,0.96113336838098,0.9801815459133683,0.9735133993738696,0.9801815459133683,0.9869416703120782,0.9813513635805382
11,0.9770774841308594,0.9231988343707264,0.9600659254484193,0.9447401807551957,0.9600659254484193,0.9758971033290099,0.9775418863752339
12,0.9382591247558594,0.7899006944895177,0.8826195742829169,0.909743298398792,0.8826195742829169,0.8570663962365137,0.9684168122796187
13,0.9491500854492188,0.8145029988449924,0.897769801828333,0.9069090007592309,0.897769801828333,0.8888129622036961,0.9693923817189785
14,0.9767608642578125,0.9131290373180088,0.9545922094184642,0.9257224639671549,0.9545922094184642,0.9853205927156904,0.9739392863483046
15,0.9739799499511719,0.918808251300425,0.9576863667098839,0.9268620693795704,0.9576863667098839,0.9906314168377823,0.9669369897516067
16,0.9688911437988281,0.9012269418504657,0.9480477285613266,0.9190824985486481,0.9480477285613266,0.9788980687259906,0.9648045473105108
17,0.9740257263183594,0.8698436365026571,0.9303918461648555,0.8824955395236987,0.9303918461648555,0.9837855366987353,0.9719346516033702
18,0.9757537841796875,0.9266728195662206,0.9619410313525425,0.9371383236886317,0.9619410313525425,0.988092309206318,0.9702076836308141
19,0.9711952209472656,0.8522829531671818,0.9202513597718751,0.8585645593567712,0.9202513597718751,0.9914885869688901,0.9671086098724582
20,0.9655914306640625,0.8642853918721695,0.9272028796022791,0.8938179781225201,0.9272028796022791,0.963178457049917,0.9663020666156391
21,0.9801750183105469,0.9265462460425147,0.9618728311825512,0.933818606572556,0.9618728311825512,0.9916649018243427,0.9763005131658148
22,0.9833717346191406,0.9452194239179611,0.9718383564298866,0.9634910264786134,0.9718383564298866,0.9803315867678111,0.9846296555964233
23,0.9762992858886719,0.8714968251670149,0.9313366856385036,0.8817091799368055,0.9313366856385036,0.9868840172381488,0.9742399110495424
24,0.9753265380859375,0.9143991529910005,0.9552857893426984,0.922407348072199,0.9552857893426984,0.9905947123931869,0.9697914717561695
