Batch,Pixel Accuracy,Jaccard Index,Dice Coefficient,Precision,F1 Score,Sensitivity,Specificity
1,0.8548727035522461,0.5581618846866307,0.7164363217611184,0.8669658158203302,0.7164363217611184,0.6104458606816356,0.9597918373299784
2,0.9102277755737305,0.659413499285417,0.7947548933034186,0.8819868562413496,0.7947548933034186,0.7232250921630642,0.9693865125405328
3,0.8706626892089844,0.5780690483375697,0.7326283332741891,0.8750818297846287,0.7326283332741891,0.6300614100229567,0.9648070184284165
4,0.8963518142700195,0.6233712677774389,0.767995935558103,0.8800980468902893,0.767995935558103,0.6812251714565952,0.9687615915565668
5,0.8778648376464844,0.6110866482233364,0.7586018404376035,0.9037338770524198,0.7586018404376035,0.6536337709753072,0.9710617053275623
6,0.9068937301635742,0.6715924381054897,0.8035361046100967,0.8373639002130622,0.8035361046100967,0.7723353307311714,0.9509197251393225
7,0.9004764556884766,0.6004425998529772,0.750345685509916,0.8782621357048453,0.750345685509916,0.6549535177033653,0.973134107003819
8,0.8764047622680664,0.60015858030519,0.7501238785854897,0.8895387387222601,0.7501238785854897,0.6484881821515485,0.9677320245897041
9,0.8678417205810547,0.5504567513559806,0.7100575373993095,0.8673113684920725,0.7100575373993095,0.6010754364089775,0.9661216904702247
10,0.8724393844604492,0.5809893459390203,0.7349693373094108,0.9261437973773308,0.7349693373094108,0.6092152244679419,0.9801248412607758
11,0.8800392150878906,0.6106201264831433,0.7582422651285974,0.8151232029884421,0.7582422651285974,0.7087820284793411,0.9419163954410732
12,0.897374153137207,0.6121874572044312,0.759449472787709,0.9024890423695046,0.759449472787709,0.6555486091815628,0.976750843627446
13,0.8765850067138672,0.5824594913755832,0.7361445832262905,0.8441302172469582,0.7361445832262905,0.6526536514822849,0.9568199011368229
14,0.868865966796875,0.5734246643337553,0.7288873466039938,0.8478821295217475,0.7288873466039938,0.6391822450913266,0.9563309691675205
15,0.8688621520996094,0.6008510811226607,0.7506645536339207,0.846702280833797,0.7506645536339207,0.6741937164930657,0.9494612635695503
16,0.8775033950805664,0.6302672673104878,0.7732072893179815,0.8858348470933785,0.7732072893179815,0.6859887338417099,0.9613115068756084
17,0.8886404037475586,0.6127873777618607,0.7599109296257687,0.8834758829069596,0.7599109296257687,0.6666690717558353,0.9684036267186596
18,0.8794651031494141,0.5345094284030643,0.696651866074643,0.8393335299662832,0.696651866074643,0.5954319989825182,0.9654824517262501
19,0.8806619644165039,0.6027334201085749,0.7521318424466915,0.8758240186739124,0.7521318424466915,0.6590539865033742,0.9646050513869749
20,0.8930826187133789,0.613775260615832,0.7606700580867864,0.9012834067696293,0.7606700580867864,0.6580107844585611,0.974911804334187
21,0.8878755569458008,0.5854907117850507,0.7385608851985849,0.848367816091954,0.7385608851985849,0.6539217269065235,0.9626462493345868
22,0.9082698822021484,0.6702288506042684,0.8025593024115082,0.920762839594559,0.8025593024115082,0.7112518737356832,0.9782571046006069
23,0.8794002532958984,0.5923628885120978,0.7440048908268655,0.812360196277795,0.7440048908268655,0.6862601577437859,0.9456378073770492
24,0.9074344635009766,0.6647358113219278,0.7986081717003212,0.9252659970864124,0.7986081717003212,0.7024510430164437,0.979933153544166
25,0.8697605133056641,0.5563619116920918,0.714951847012511,0.863950039347041,0.714951847012511,0.6097870128390455,0.964869730133878
26,0.8607473373413086,0.5488860946425648,0.708749463941996,0.8160655556984585,0.708749463941996,0.6263780818440472,0.947650727705085
27,0.8876075744628906,0.6253338080826064,0.7694835423626705,0.9204147715574522,0.7694835423626705,0.661078697604388,0.9773538277996144
28,0.8979721069335938,0.6224302891487177,0.7672813966944666,0.8438193753349154,0.7672813966944666,0.703473391143411,0.9590873199894719
29,0.8971347808837891,0.61243518847891,0.7596400684565194,0.8168864904242471,0.7596400684565194,0.7098917117867555,0.9527419490498172
30,0.868830680847168,0.5710048282659413,0.7269294377614491,0.8732845183294774,0.7269294377614491,0.6225888290347155,0.9647938843886509
31,0.8703384399414062,0.5721460669914278,0.7278535741737125,0.8462669893874512,0.7278535741737125,0.6385103812547411,0.9567601252631469
32,0.8959770202636719,0.6590767730501995,0.7945102767468586,0.8624487725870968,0.7945102767468586,0.7364937550644053,0.9558801150257653
33,0.883026123046875,0.5828197488537883,0.7364322428701586,0.8545666723186945,0.7364322428701586,0.6469926373418916,0.9627905671114649
34,0.8643360137939453,0.5861268380106717,0.7390667933540485,0.9002149326827263,0.7390667933540485,0.6268533183149078,0.9692915085816283
35,0.8787212371826172,0.6066830175024047,0.7551993901640859,0.8990027223480023,0.7551993901640859,0.6510571210461682,0.9705106211008904
36,0.8962297439575195,0.6254264302410041,0.7695536612484778,0.8733829757572553,0.7695536612484778,0.6877881841652975,0.9664224103862462
37,0.9147520065307617,0.6712479404495705,0.8032894751319817,0.854279000973564,0.8032894751319817,0.7580439504757632,0.9614597582337322
38,0.9002704620361328,0.686565419510309,0.8141580653416362,0.8932498830135704,0.8141580653416362,0.7479331557088003,0.963121975665219
39,0.8901491165161133,0.6333620862523912,0.7755317594099249,0.8408331255731013,0.7755317594099249,0.7196423921534589,0.9512130992964387
40,0.8683815002441406,0.5509994274113789,0.710508872760834,0.7952668278825159,0.710508872760834,0.6420775281963795,0.944443241025432
41,0.8865146636962891,0.591559206032669,0.7433706566371071,0.8646719144303467,0.7433706566371071,0.6519160428636812,0.9656032940450368
42,0.9159164428710938,0.6819393589581717,0.8108964872319525,0.8875434881613604,0.8108964872319525,0.7464353827990191,0.9698839339488484
43,0.8718385696411133,0.6000803487731933,0.7500627693269082,0.8567568256557982,0.7500627693269082,0.6669996460715597,0.9548224132501625
44,0.8885431289672852,0.5840593636557763,0.7374210551148197,0.9048149393790696,0.7374210551148197,0.6222944379559829,0.9780037204087353
45,0.8775796890258789,0.5813632672495606,0.7352684601821012,0.8406815470155201,0.7352684601821012,0.6533454524130652,0.9564499412165088
46,0.8776445388793945,0.5429905676507466,0.7038157964600749,0.8673710923719459,0.7038157964600749,0.5921562229292188,0.9705377874458541
47,0.8549586704799107,0.5404929455881439,0.7017142754675705,0.7741996112432796,0.7017142754675705,0.6416399880304813,0.9322204257732525

Metric,Mean,Standard Deviation
Pixel Accuracy,0.88394311423722,0.01534875401916018
Jaccard Index,0.603267379304341,0.03926656810100302
Dice Coefficient,0.7518049509078764,0.030327922146247795
Precision,0.8660700818126131,0.03375823626663082
F1 Score,0.7518049509078764,0.030327922146247795
Sensitivity,0.6659028924568461,0.044061842349937985
Specificity,0.9627706714751553,0.010591657012619559
